,University,Location
128,Open University of the Netherlands,50.87905°N 5.95931°E
129,"University of Nebraska, Lincoln",40.81750°N 96.70139°W
130,DePaul University,41.924°N 87.656°W
131,College of William and Mary,37.271059°N 76.707485°W
132,nyu,40.73000°N 73.99500°W
133,Open University,52.02500°N 0.70556°W
134,"Minnesota State University, Mankato",44.146617°N 93.998117°W
135,University of Turin,45.06944°N 7.68889°E
136,Southern Methodist University,32.841°N 96.784°W
137,Norwegian University of Science and Technology,63.41944°N 10.40250°E
138,University of Malta,35.90194°N 14.48250°E
139,Technion - Israel Institute of Technology,32.77750°N 35.02167°E
140,kuleuven,50.878°N 4.700°E
141,Shandong University,36.67361°N 117.05389°E
142,Purdue University,40.424°N 86.929°W
143,"Rutgers University, Newark",40.50167°N 74.44806°W
144,University of British Columbia,49.26111°N 123.25306°W
145,Nanyang Technological University,1.34472°N 103.68139°E
146,University of Massachusetts at Dartmouth,41.630°N 71.002°W
147,University of Twente,52.2427361°N 6.8532639°E
148,Arcadia College,37.58389°N 90.62917°W
149,University of Wollongong,34.40667°S 150.87944°E
150,"University of Nevada, Reno",39.54583°N 119.81667°W
151,"University of California, San Diego",37.802168°N 122.271281°W
152,George Washington University,38.9007°N 77.0508°W
153,glasgow,55.858000°N 4.259000°W
154,Brigham Young University,40.24972°N 111.64917°W
155,Middle Tennessee State University,35.849°N 86.365°W
156,University of Groningen,53.21917°N 6.56278°E
157,Fudan University,31.29889°N 121.49917°E
158,Tokyo Gakugei University,35.7065°N 139.4902°E
159,University of Bologna,44.49389°N 11.34278°E
160,National Taiwan University of Science and Technology,25.013686°N 121.540535°E
161,University of Tampere,61.49417°N 23.77806°E
162,Weizmann Institute of Science,31.90750°N 34.80917°E
163,"University of Virginia, Charlottesville",38.035°N 78.505°W
164,National University of Singapore,1.29556°N 103.77667°E
165,Korea Advanced Institute of Science & Technology,36.372°N 127.363°E
166,Worcester Polytechnic Institute,42.27444°N 71.80750°W
167,University of Warwick,52.3800806°N 1.5619306°W
168,University of Melbourne,37.7963°S 144.9614°E
169,"University of Nebraska, Omaha",40.81750°N 96.70139°W
170,Ecole Normale Supérieure de Lyon,45.729734°N 4.826875°E
171,University of Rochester,43.128333°N 77.628333°W
172,Boğaziçi University,41.083556°N 29.050598°E
173,Westfälische Wilhelms-Universität Münster,51.96361°N 7.61361°E
174,"University of California, Irvine",37.802168°N 122.271281°W
175,University of Chicago,41.78972°N 87.59972°W
176,Warren Wilson College,35.610972°N 82.441861°W
177,University of Central Lancashire,53.763021°N 2.7074°W
178,Williams College,42.713°N 73.203°W
179,Universidad de Valladolid,41.65222°N 4.72139°W
180,Illinois State University,40.51076°N 88.99346°W
181,Wake Forest University,36.131282°N 80.282333°W
182,Missouri State University,37.19971°N 93.28079°W
183,University of Connecticut,41.80717°N 72.25250°W
184,University of Massachusetts Boston,42.313432°N 71.038445°W
185,Ankara University,39.9367°N 32.8303°E
186,Middle East Technical University,39.89139°N 32.78472°E
187,Korea National University of Education,36.60835°N 127.3582°E
188,West Virginia University,39.63582°N 79.95453°W
189,University of Massachusetts at Lowell,42.642716°N 71.334530°W
190,University of Cambridge,52.20528°N 0.11722°E
191,University of Iowa,41.66167°N 91.53639°W
192,Ewha Women's University,37.5618667°N 126.9468333°E
193,Malmö University College,55.60778°N 12.99639°E
194,"University of Dublin, Trinity College",53.3444°N 6.2577°W
195,"Institute of Education, University of London",51.52301°N 0.12802°W
196,Université de Lausanne,46.52250°N 6.57944°E
197,Ruhr-Universität Bochum,51.44389°N 7.26167°E
198,State University of New York at Buffalo,43.00000°N 78.78917°W
199,Université Laval,46.78000°N 71.27472°W
200,Université de Montréal,45.50472°N 73.61278°W
201,Boise State University,43.604°N 116.204°W
202,Flinders University of South Australia,35.020819°S 138.57275°E
203,Ohio University,39.324°N 82.102°W
204,Kent State University,41.1464111°N 81.3417444°W
205,Macquarie University,33.775259°S 151.112915°E
206,University of Florida,29.64833°N 82.34944°W
207,Central Michigan University,43.589802°N 84.77749°W
208,Grinnell College,41.749057°N 92.72013°W
209,Cyprus University of Technology,34.67667°N 33.04417°E
210,Northeastern University,42.338889°N 71.090278°W
211,Wellesley College,42.29528°N 71.30667°W
212,McGill University,13.167°N 59.583°W
213,cuhk,22.41972°N 114.2067917°E
214,University of Macau,22.13004°N 113.54579°E
215,Pohang University of Science and Technology,36.0108833°N 129.3226694°E
216,St. Mary's College of Maryland,38.18666°N 76.43094°W
217,Cardiff University,51.4877°N 3.1790°W
218,Lund University,55.70583°N 13.19333°E
219,"University of New Hampshire, Durham",43.13556°N 70.93333°W
220,University of Northern Colorado,40.404853°N 104.696741°W
221,"École de technologie supérieure, Université du Québec",45.4953000°N 73.5629000°W
222,University of Southampton,50.93463°N 1.39595°W
223,"University of the West of England, Bristol",51.50021°N 2.54749°W
224,Montclair State University,40.8591056°N 74.1986861°W
225,ruppin,52.93306°N 12.80000°E
226,"University of Nottingham, Malaysia Campus",52.939°N 1.197°W
227,Northern Illinois University,41.93389°N 88.77778°W
228,Tallinn University,59.43861°N 24.77139°E
229,Virginia Polytechnic Institute and State University,37.2250°N 80.4250°W
230,Colorado State University,40.5748361°N 105.0809778°W
231,Beijing Normal University,39.95722°N 116.36250°E
